Energy,X,Y,Z,Normal_X,Normal_Y,Normal_Z,Wavelength,Flux
1.000000,0.066970,0.423536,-0.006530,-0.706799,0.000000,-0.707415,550.000000,360.732495
1.000000,0.067127,0.575491,-0.005299,-0.507734,0.000000,0.861514,550.000000,259.134519
1.000000,0.067032,0.561600,-0.005364,-0.627970,0.000000,0.778237,550.000000,320.500408
1.000000,0.067017,0.497356,-0.006573,-0.647250,0.000000,-0.762278,550.000000,330.339986
1.000000,0.067109,0.343636,-0.006641,-0.530074,0.000000,-0.847951,550.000000,270.536599
1.000000,0.066792,0.436165,-0.006256,-0.933777,0.000000,-0.357857,550.000000,476.576203
1.000000,0.066821,0.359010,-0.005629,-0.897411,0.000000,0.441196,550.000000,458.015921
1.000000,0.066764,0.289573,-0.005781,-0.969018,0.000000,0.246992,550.000000,494.562333
1.000000,0.066745,0.379575,-0.005885,-0.993445,0.000000,0.114310,550.000000,507.029571
1.000000,0.067061,0.351567,-0.006608,-0.590593,0.000000,-0.806969,550.000000,301.424021
1.000000,0.066988,0.489597,-0.005402,-0.683886,0.000000,0.729589,550.000000,349.038416
1.000000,0.066818,0.507204,-0.005635,-0.901230,0.000000,0.433341,550.000000,459.965158
1.000000,0.066855,0.300103,-0.006384,-0.853383,0.000000,-0.521285,550.000000,435.545324
1.000000,0.066785,0.356445,-0.005714,-0.943102,0.000000,0.332503,550.000000,481.335806
1.000000,0.066850,0.516720,-0.006375,-0.860315,0.000000,-0.509763,550.000000,439.083350
1.000000,0.066912,0.536957,-0.005484,-0.780404,0.000000,0.625275,550.000000,398.298788
1.000000,0.066740,0.471878,-0.005991,-0.999799,0.000000,-0.020037,550.000000,510.272537
1.000000,0.067189,0.534439,-0.005265,-0.427674,0.000000,0.903933,550.000000,218.274212
1.000000,0.066792,0.293932,-0.005694,-0.934011,0.000000,0.357245,550.000000,476.695669
1.000000,0.066748,0.557044,-0.005866,-0.990303,0.000000,0.138926,550.000000,505.425760
1.000000,0.066755,0.428952,-0.006126,-0.981377,0.000000,-0.192092,550.000000,500.870292
1.000000,0.066763,0.552246,-0.006161,-0.971366,0.000000,-0.237588,550.000000,495.760991
1.000000,0.067345,0.356071,-0.005211,-0.230017,0.000000,0.973187,550.000000,117.394685
1.000000,0.066864,0.536960,-0.005552,-0.842186,0.000000,0.539188,550.000000,429.830496
1.000000,0.066803,0.472048,-0.005667,-0.919716,0.000000,0.392584,550.000000,469.400032
1.000000,0.066757,0.555116,-0.006138,-0.978266,0.000000,-0.207356,550.000000,499.282311
1.000000,0.066748,0.270669,-0.006089,-0.989317,0.000000,-0.145782,550.000000,504.922499
1.000000,0.067250,0.297526,-0.005240,-0.350301,0.000000,0.936637,550.000000,178.785087
1.000000,0.067003,0.473882,-0.005389,-0.664941,0.000000,0.746896,550.000000,339.369459
1.000000,0.066746,0.504318,-0.005883,-0.993061,0.000000,0.117602,550.000000,506.833416
1.000000,0.066745,0.365729,-0.006058,-0.994334,0.000000,-0.106300,550.000000,507.483253
1.000000,0.066984,0.542449,-0.005406,-0.689191,0.000000,0.724580,550.000000,351.745905
1.000000,0.066751,0.469181,-0.005846,-0.986449,0.000000,0.164071,550.000000,503.458658
1.000000,0.067144,0.562163,-0.006661,-0.485401,0.000000,-0.874292,550.000000,247.736511
1.000000,0.066771,0.331218,-0.005756,-0.960523,0.000000,0.278199,550.000000,490.227105
1.000000,0.067214,0.358166,-0.005254,-0.395896,0.000000,0.918295,550.000000,202.055272
