Energy,X,Y,Z,Normal_X,Normal_Y,Normal_Z,Wavelength,Flux
1.000000,0.981897,0.050991,-0.173029,0.307743,0.000015,0.951470,550.000000,213.563194
1.000000,0.727260,0.061329,-0.103075,0.240643,0.000007,0.970614,550.000000,282.649484
1.000000,0.817006,0.042181,-0.126497,0.264366,0.000010,0.964422,550.000000,258.518603
1.000000,0.167179,0.078642,-0.008158,0.092591,-0.000011,0.995704,550.000000,426.332195
1.000000,-0.000348,0.070659,-0.000603,0.048362,-0.000016,0.998830,550.000000,467.026282
1.000000,0.042745,0.083440,0.001346,0.059699,-0.000015,0.998216,550.000000,456.691385
1.000000,0.203038,0.033751,-0.011665,0.102069,-0.000010,0.994777,550.000000,417.480867
1.000000,0.153786,0.028561,-0.006937,0.089050,-0.000011,0.996027,550.000000,429.627808
1.000000,0.301735,0.078097,-0.023103,0.128160,-0.000006,0.991753,550.000000,392.873196
1.000000,0.469493,0.026001,-0.048619,0.172504,-0.000001,0.985009,550.000000,350.231476
1.000000,0.497409,0.021924,-0.053616,0.179883,-0.000000,0.983688,550.000000,343.034082
1.000000,0.208382,0.012722,-0.012217,0.103481,-0.000009,0.994631,550.000000,416.158248
1.000000,0.191819,0.094072,-0.010530,0.099105,-0.000010,0.995077,550.000000,420.253843
1.000000,0.326929,0.089198,-0.026445,0.134820,-0.000006,0.990870,550.000000,386.534848
1.000000,0.399517,0.062402,-0.037039,0.154007,-0.000003,0.988070,550.000000,368.144230
1.000000,0.825100,0.062225,-0.128726,0.266506,0.000010,0.963833,550.000000,256.325910
1.000000,0.422812,0.082275,-0.040745,0.160166,-0.000003,0.987090,550.000000,362.200260
1.000000,0.385974,0.042478,-0.034954,0.150427,-0.000004,0.988621,550.000000,371.590986
1.000000,0.044945,0.065182,0.001214,0.060280,-0.000015,0.998182,550.000000,456.160092
1.000000,0.798283,0.087006,-0.121417,0.259418,0.000009,0.965765,550.000000,263.577749
1.000000,0.298411,0.019421,-0.022676,0.127280,-0.000007,0.991867,550.000000,393.709434
1.000000,0.532668,0.088086,-0.060237,0.189205,0.000001,0.981938,550.000000,333.899649
1.000000,0.011095,0.041186,0.003105,0.051331,-0.000016,0.998682,550.000000,464.325814
1.000000,0.020624,0.073116,0.002604,0.053851,-0.000015,0.998549,550.000000,462.030447
1.000000,0.022212,0.054202,0.002518,0.054270,-0.000015,0.998526,550.000000,461.648412
1.000000,0.055394,0.058047,0.000568,0.063041,-0.000014,0.998011,550.000000,453.631426
1.000000,0.444390,0.049229,-0.044310,0.165869,-0.000002,0.986148,550.000000,356.677965
1.000000,0.000389,0.076011,0.000673,0.048540,-0.000016,0.998821,550.000000,466.864326
1.000000,0.329812,0.072769,-0.026838,0.135582,-0.000006,0.990766,550.000000,385.808647
1.000000,0.414207,0.043228,-0.039359,0.157890,-0.000003,0.987457,550.000000,364.399246
1.000000,0.428930,0.089590,-0.041742,0.161783,-0.000002,0.986826,550.000000,360.635730
1.000000,0.981801,0.047188,-0.173195,0.307732,0.000015,0.951473,550.000000,213.573888
1.000000,0.613359,0.040410,-0.076697,0.210534,0.000004,0.977587,550.000000,312.824848
1.000000,0.703859,0.000056,-0.099238,0.234569,0.000006,0.972099,550.000000,288.777245
1.000000,0.152893,0.065065,-0.006857,0.088815,-0.000011,0.996048,550.000000,429.846198
1.000000,0.294653,0.004049,-0.022195,0.126286,-0.000007,0.991994,550.000000,394.652935
1.000000,0.450738,0.062532,-0.045383,0.167547,-0.000002,0.985864,550.000000,355.049306
1.000000,0.044682,0.033110,0.001229,0.060209,-0.000015,0.998186,550.000000,456.224514
1.000000,0.222439,0.026333,-0.013706,0.107197,-0.000009,0.994238,550.000000,412.672180
1.000000,0.716578,0.079097,-0.100444,0.237820,0.000007,0.971309,550.000000,285.500084
1.000000,0.416888,0.008238,-0.039788,0.158598,-0.000003,0.987343,550.000000,363.715826
1.000000,0.603474,0.034998,-0.074582,0.207921,0.000003,0.978146,550.000000,315.420052
1.000000,0.072764,-0.000035,-0.001711,0.067652,-0.000014,0.997709,550.000000,449.402033
1.000000,0.153393,0.001002,-0.006374,0.088932,-0.000011,0.996038,550.000000,429.736888
1.000000,0.882006,0.024623,-0.144940,0.281548,0.000012,0.959547,550.000000,240.842031
1.000000,0.437397,0.087598,-0.043140,0.164021,-0.000002,0.986457,550.000000,358.468670
1.000000,0.517389,0.077885,-0.057325,0.185166,0.000000,0.982707,550.000000,337.863183
1.000000,0.004847,0.007931,0.003421,0.049678,-0.000016,0.998765,550.000000,465.829440
1.000000,0.457452,0.076691,-0.046531,0.169322,-0.000001,0.985561,550.000000,353.325266
1.000000,0.820336,0.007786,-0.127411,0.265245,0.000010,0.964181,550.000000,257.618320
1.000000,0.508931,0.006252,-0.055741,0.182928,0.000000,0.983126,550.000000,340.055417
1.000000,0.276113,0.098361,-0.018456,0.121342,-0.000007,0.992611,550.000000,399.337582
1.000000,0.066571,0.009017,-0.000155,0.065995,-0.000014,0.997820,550.000000,450.923420
